Year,Asset,Value
1996,Other Assets,9646.8
1996,Total Assets,96738.5
1997,Gold,57032.1
1997,IMF,1622
1997,Holdings,478.9
1997,Papers,3728.7
1997,Discounted,969.3
1997,Deposits,27798.2
1997,Loans,4694.1
1997,Deferred Expenditure,3424.3
1997,Properties,0
1997,Other Assets,9173.4
1997,Total Assets,108921
1998,Gold,96264.9
1998,IMF,2379.3
1998,Holdings,793.9
1998,Papers,1072.4
1998,Discounted,0
1998,Deposits,2512
1998,Loans,5773.4
1998,Deferred Expenditure,2853.6
1998,Properties,0
1998,Other Assets,13060.3
1998,Total Assets,124709.8
1999,Gold,113765.9
1999,IMF,3168.2
1999,Holdings,330.3
1999,Papers,94.4
1999,Discounted,0
1999,Deposits,2134.8
1999,Loans,7029.7
1999,Deferred Expenditure,2282.9
1999,Properties,0
1999,Other Assets,18241.4
1999,Total Assets,147047.6
2000,Gold,105360.9
2000,IMF,3310.9
2000,Holdings,418.7
2000,Papers,125.5
2000,Discounted,0
2000,Deposits,1615.7
2000,Loans,8712
2000,Deferred Expenditure,1712.2
2000,Properties,0
2000,Other Assets,27652.2
2000,Total Assets,148908.1
2001,Gold,109924.7
2001,IMF,3193.5
2001,Holdings,487.8
2001,Papers,280.7
2001,Discounted,0
2001,Deposits,1193.1
2001,Loans,8934.9
2001,Deferred Expenditure,1141.4
2001,Properties,0
2001,Other Assets,24522.1
2001,Total Assets,149678.2
2002,Gold,124302.35
2002,IMF,3315.5
2002,Holdings,585
2002,Papers,29.4
2002,Discounted,0
2002,Deposits,2902.2
2002,Loans,8015.3
2002,Deferred Expenditure,570.7
2002,Properties,0
2002,Other Assets,22548.4
2002,Total Assets,162268.85
2003,Gold,163648.88
2003,IMF,3652
2003,Holdings,685
2003,Papers,98.5
2003,Discounted,0
2003,Deposits,2893.7
2003,Loans,8946.1
2003,Deferred Expenditure,0
2003,Properties,0
2003,Other Assets,21483.5
2003,Total Assets,201407.68
2004,Gold,247880.64
2004,IMF,3068.4
2004,Holdings,765.3
2004,Papers,221.1
2004,Discounted,0
2004,Deposits,2887.5
2004,Loans,10637
2004,Deferred Expenditure,0
2004,Properties,0
2004,Other Assets,19649.6
2004,Total Assets,285109.54
2005,Gold,263328.018
2005,IMF,1186.3
2005,Holdings,748.3
2005,Papers,961
2005,Discounted,0
2005,Deposits,2878.9
2005,Loans,10295.7
2005,Deferred Expenditure,0
2005,Properties,0
2005,Other Assets,16034.582
2005,Total Assets,295432.8
2006,Gold,288871.214
2006,IMF,793.4
2006,Holdings,756.9
2006,Papers,1504.2
2006,Discounted,0
2006,Deposits,4626.6
2006,Loans,12924.7
2006,Deferred Expenditure,0
2006,Properties,0
2006,Other Assets,13551
2006,Total Assets,323028
2007,Gold,334338.6064
2007,IMF,617.4728965
2007,Holdings,760.9506721
2007,Papers,2468.203632
2007,Discounted,0
2007,Deposits,62470.0443
2007,Loans,12288.1599
2007,Deferred Expenditure,0
2007,Properties,0
2007,Other Assets,11937.97232
2007,Total Assets,424881.4102
2008,Gold,315554.3
2008,IMF,1127.06575
2008,Holdings,786.401257
2008,Papers,2525.2393
2008,Discounted,0
2008,Deposits,4507.7875
2008,Loans,12516.54573
2008,Deferred Expenditure,0
2008,Properties,0
2008,Other Assets,7505.008921
2008,Total Assets,344522.3204
2009,Gold,322505.6
2009,IMF,1515.842594
2009,Holdings,7279.175067
2009,Papers,2683.09325
2009,Discounted,0
2009,Deposits,9373.175
2009,Loans,12407.4818
2009,Deferred Expenditure,0
2009,Properties,0
2009,Other Assets,7213.305329
2009,Total Assets,362977.7027
2010,Gold,320774.4482
2010,IMF,1453.521555
2010,Holdings,6442.516703
2010,Papers,2285.433098
2010,Discounted,0
2010,Deposits,40583.035
2010,Loans,11837.44496
2010,Deferred Expenditure,0
2010,Properties,0
2010,Other Assets,6795.391854
2010,Total Assets,390171.7914
2011,Gold,414432.52
2011,IMF,2672.204523
2011,Holdings,6252.99772
2011,Papers,2016.972067
2011,Discounted,0
2011,Deposits,28797.25
2011,Loans,10671.15505
2011,Deferred Expenditure,0
2011,Properties,0
2011,Other Assets,8126.397188
2011,Total Assets,472969.5466
2013,Gold,432209.4635
2013,IMF,3183.163738
2013,Holdings,6488.214835
2013,Papers,1852.12244
2013,Discounted,0
2013,Deposits,16444.34637
2013,Loans,6681.648479
2013,Deferred Expenditure,0
2013,Properties,112.006381
2013,Other Assets,7296.920314
2013,Total Assets,474267.8861
2014,Gold,397092.6041
2014,IMF,3295.258378
2014,Holdings,6518.068438
2014,Papers,2454.717462
2014,Discounted,0
2014,Deposits,1730.586027
2014,Loans,6499.251321
2014,Deferred Expenditure,0
2014,Properties,2113.93357
2014,Other Assets,7912.08896
2014,Total Assets,427616.5083
2015,Gold,398178.3134
2015,IMF,3291.312743
2015,Holdings,7656.36461
2015,Papers,1916.789202
2015,Discounted,0
2015,Deposits,1290.159531
2015,Loans,6957.418065
2015,Deferred Expenditure,0
2015,Properties,2113.93355
2015,Other Assets,19163.23139
2015,Total Assets,440567.5225
2016,Gold,415506.3906
2016,IMF,3467.479432
2016,Holdings,4956.343887
2016,Papers,4264.750748
2016,Discounted,0
2016,Deposits,1527.516724
2016,Loans,7739.585223
2016,Deferred Expenditure,0
2016,Properties,2113.93355
2016,Other Assets,11402.98763
2016,Total Assets,450978.9889
2017,Gold,406797.9001
2017,IMF,3116.309554
2017,Holdings,4736.977987
2017,Papers,4226.682893
2017,Discounted,0
2017,Deposits,8912.907656
2017,Loans,7593.118934
2017,Deferred Expenditure,0
2017,Properties,4179.61408
2017,Other Assets,10282.78052
2017,Total Assets,449846.2917
